Name,Source,Description,Gem
One with the River,Blight Oils,Allocates One with the River,
Enduring Bond,Blight Oils,Allocates Enduring Bond,
Brutal Blade,Blight Oils,Allocates Brutal Blade,
Claws of the Falcon,Blight Oils,Allocates Claws of the Falcon,
Growth and Decay,Blight Oils,Allocates Growth and Decay,
Disciple of the Slaughter,Blight Oils,Allocates Disciple of the Slaughter,
Nightstalker,Blight Oils,Allocates Nightstalker,
Volatile Mines,Blight Oils,Allocates Volatile Mines,
Insightfulness,Blight Oils,Allocates Insightfulness,
Arcane Chemistry,Blight Oils,Allocates Arcane Chemistry,
Cleansed Thoughts,Blight Oils,Allocates Cleansed Thoughts,
Influence,Blight Oils,Allocates Influence,
Heart of Thunder,Blight Oils,Allocates Heart of Thunder,
Devotion,Blight Oils,Allocates Devotion,
Purity of Flesh,Blight Oils,Allocates Purity of Flesh,
Doom Cast,Blight Oils,Allocates Doom Cast,
Quick Recovery,Blight Oils,Allocates Quick Recovery,
Crystal Skin,Blight Oils,Allocates Crystal Skin,
Bravery,Blight Oils,Allocates Bravery,
Breath of Flames,Blight Oils,Allocates Breath of Flames,
Fervour,Blight Oils,Allocates Fervour,
Transcendence,Blight Oils,Allocates Transcendence,
Profane Chemistry,Blight Oils,Allocates Profane Chemistry,
Heart of Flame,Blight Oils,Allocates Heart of Flame,
Written in Blood,Blight Oils,Allocates Written in Blood,
Aqueous Accelerant,Blight Oils,Allocates Aqueous Accelerant,
Cruel Preparation,Blight Oils,Allocates Cruel Preparation,
Disemboweling,Blight Oils,Allocates Disemboweling,
Cursed Concoction,Blight Oils,Allocates Cursed Concoction,
Soul Siphon,Blight Oils,Allocates Soul Siphon,
Arcane Potency,Blight Oils,Allocates Arcane Potency,
Breath of Lightning,Blight Oils,Allocates Breath of Lightning,
Vigour,Blight Oils,Allocates Vigour,
Master of Force,Blight Oils,Allocates Master of Force,
Hematophagy,Blight Oils,Allocates Hematophagy,
Druidic Rite,Blight Oils,Allocates Druidic Rite,
Heart and Soul,Blight Oils,Allocates Heart and Soul,
Bloodless,Blight Oils,Allocates Bloodless,
Born to Fight,Blight Oils,Allocates Born to Fight,
Heart of Oak,Blight Oils,Allocates Heart of Oak,
Champion of the Cause,Blight Oils,Allocates Champion of the Cause,
Survivalist,Blight Oils,Allocates Survivalist,
Overcharge,Blight Oils,Allocates Overcharge,
Overcharged,Blight Oils,Allocates Overcharged,
Master of the Arena,Blight Oils,Allocates Master of the Arena,
Mystic Talents,Blight Oils,Allocates Mystic Talents,
Fingers of Frost,Blight Oils,Allocates Fingers of Frost,
Divine Fervour,Blight Oils,Allocates Divine Fervour,
Herbalism,Blight Oils,Allocates Herbalism,
Blood Siphon,Blight Oils,Allocates Blood Siphon,
Crackling Speed,Blight Oils,Allocates Crackling Speed,
Leadership,Blight Oils,Allocates Leadership,
Arcane Expanse,Blight Oils,Allocates Arcane Expanse,
Endurance,Blight Oils,Allocates Endurance,
Faith and Steel,Blight Oils,Allocates Faith and Steel,
Way of the Warrior,Blight Oils,Allocates Way of the Warrior,
Deadly Inclinations,Blight Oils,Allocates Deadly Inclinations,
Hardened Scars,Blight Oils,Allocates Hardened Scars,
Rampart,Blight Oils,Allocates Rampart,
Inexorable,Blight Oils,Allocates Inexorable,
Stamina,Blight Oils,Allocates Stamina,
Arcane Capacitor,Blight Oils,Allocates Arcane Capacitor,
Tireless,Blight Oils,Allocates Tireless,
Arcane Swiftness,Blight Oils,Allocates Arcane Swiftness,
Stabbing Thirst,Blight Oils,Allocates Stabbing Thirst,
Savagery,Blight Oils,Allocates Savagery,
Mana Flows,Blight Oils,Allocates Mana Flows,
Primal Spirit,Blight Oils,Allocates Primal Spirit,
Art of the Gladiator,Blight Oils,Allocates Art of the Gladiator,
Instability,Blight Oils,Allocates Instability,
Arcane Will,Blight Oils,Allocates Arcane Will,
Foresight,Blight Oils,Allocates Foresight,
Breath of Rime,Blight Oils,Allocates Breath of Rime,
Lust for Carnage,Blight Oils,Allocates Lust for Carnage,
Frenetic,Blight Oils,Allocates Frenetic,
Force Shaper,Blight Oils,Allocates Force Shaper,
Piercing Shots,Blight Oils,Allocates Piercing Shots,
Thick Skin,Blight Oils,Allocates Thick Skin,
Dismembering,Blight Oils,Allocates Dismembering,
Infused,Blight Oils,Allocates Infused,
Heart of Ice,Blight Oils,Allocates Heart of Ice,
Swagger,Blight Oils,Allocates Swagger,
Blood Drinker,Blight Oils,Allocates Blood Drinker,
Vitality Void,Blight Oils,Allocates Vitality Void,
Fangs of the Viper,Blight Oils,Allocates Fangs of the Viper,
Ethereal Feast,Blight Oils,Allocates Ethereal Feast,
Resourcefulness,Blight Oils,Allocates Resourcefulness,
Essence Surge,Blight Oils,Allocates Essence Surge,
Golem Commander,Blight Oils,Allocates Golem Commander,
Discipline and Training,Blight Oils,Allocates Discipline and Training,
Assassination,Blight Oils,Allocates Assassination,
Heart of the Warrior,Blight Oils,Allocates Heart of the Warrior,
Void Barrier,Blight Oils,Allocates Void Barrier,
Skittering Runes,Blight Oils,Allocates Skittering Runes,
Barbarism,Blight Oils,Allocates Barbarism,
Crusader,Blight Oils,Allocates Crusader,
Thunderous Salvos,Blight Oils,Allocates Thunderous Salvos,
Vengeant Cascade,Blight Oils,Allocates Vengeant Cascade,
Unnatural Calm,Blight Oils,Allocates Unnatural Calm,
Golem's Blood,Blight Oils,Allocates Golem's Blood,
Tranquility,Blight Oils,Allocates Tranquility,
Revenge of the Hunted,Blight Oils,Allocates Revenge of the Hunted,
Aspect of Stone,Blight Oils,Allocates Aspect of Stone,
Tenacity,Blight Oils,Allocates Tenacity,
Sovereignty,Blight Oils,Allocates Sovereignty,
Tribal Fury,Blight Oils,Allocates Tribal Fury,
Whispers of Doom,Blight Oils,Allocates Whispers of Doom,
Spiritual Aid,Blight Oils,Allocates Spiritual Aid,
Charisma,Blight Oils,Allocates Charisma,
Constitution,Blight Oils,Allocates Constitution,
Soul of Steel,Blight Oils,Allocates Soul of Steel,
